date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
14-10-24 21:48:00,Swap,198.8415,tether,0.854700854700855,169.95,autonolas,Bitget,0.1988415,tether,,,1.0,158
14-10-24 21:50:00,Swap,739.029364,tether,2.07382828701783,1532.62,origintrail,Bitget,0.73905957,tether,,,1.0,159
14-10-24 21:55:00,Swap,2.857734,tether,2.07856994387861,5.94,origintrail,Bitget,0.00285773,tether,,,1.0,160
14-10-24 21:57:00,Swap,63670.8165,reserve-rights-token,0.00706759999999372,449.999862695,tether,Bitget,63.6708165,reserve-rights-token,,,0.00706759999999372,161
14-10-24 21:57:00,Swap,28450.98,nervos-network,0.015816,449.98069968,tether,Bitget,28.45098,nervos-network,,,0.015816,162
14-10-24 21:57:00,Swap,2.969,bittensor,584.4,1735.0836,tether,Bitget,0.002969,bittensor,,,584.4,163
14-10-24 22:30:00,Transfert,67.34259,render-token,,,,Phantom,0.14,render-token,Binance,,5.6,164
29-10-24 08:10:00,Interets,35.41,tether,,,,Quantfury,,,,,0.980744039,165
29-10-24 08:10:00,Transfert,3862.35,tether,,,,Bitget,0.02,tether,Quantfury,,1.0,166
30-10-24 11:21:00,Transfert,1500.0,tether,,,,MEXC,,,Bitget,,1.0,167
08-11-24 09:05:00,Transfert,5.391095,bittensor,,,,Bittensor Wallet,0.0003,bittensor,Bitget,,499.34,168
08-11-24 09:10:00,Mise en staking,5.35,bittensor,,,,Bittensor Wallet,,,,,499.34,169
08-11-24 11:40:00,Transfert,10.0,tether,,,,KuCoin,,,Bitget,,1.0,170
08-11-24 12:27:00,Swap,4.124,akash-network,2.42,9.98008,tether,KuCoin,0.0199,tether,,,2.42,171
08-11-24 12:43:00,Transfert,4.124,akash-network,,,,Keplr,0.2,akash-network,KuCoin,,2.42,172
08-11-24 19:45:00,Swap,101.0,render-token,4.9,494.9,tether,Bitget,0.101,render-token,,,4.9,173
09-11-24 12:04:00,Swap,150.94,nosana,3.3232847489996,501.616600014,tether,MEXC,0.003,tether,,,3.3232847489996,174
12-11-24 19:13:00,Transfert,957.88,tether,,,,Bitget Margin,,,Bitget,,1.0,175
13-11-24 12:03:00,Emprunt,1022.12,tether,,,,Bitget Margin,,,,,1.0,176
13-11-24 12:08:00,Swap,1500.0,fetch-ai,1.32,1980.0,tether,Bitget Margin,1.5,fetch-ai,,,1.32,177
13-11-24 20:36:00,Swap,1852.5,tether,0.808906882591093,1498.5,fetch-ai,Bitget Margin,1.85239138,tether,,,1.0,178
13-11-24 20:37:00,Remboursement,1022.12,tether,,,,Bitget Margin,0.05366133,tether,,,1.0,179
26-11-24 20:15:00,Swap,2000.0,fetch-ai,1.4,2800.0,tether,Bitget Margin,2.0,fetch-ai,,,1.4,180
26-11-24 20:15:00,Transfert,2197.8,atlas-navi,,,,KuCoin,23.838,atlas-navi,Bitget,,0.1652,181
26-11-24 22:13:00,Transfert,900.00082477,tether,,,,Bitget Margin,,,Bitget,,1.0,182
26-11-24 22:15:00,Emprunt,2471.52522794,tether,,,,Bitget Margin,,,,,1.0,183
30-11-24 22:08:00,Retrait staking,443.528453,akash-network,,,,Keplr,0.000643,akash-network,,,4.345,184
30-11-24 22:08:00,Interets,72.071597,akash-network,,,,Keplr,,,,,2.6448,185
02-12-24 22:40:00,Swap,526.77108,tether,0.0319284802043423,16.819,gmx,Binance,0.52677108,tether,,,1.0,186
02-12-24 22:41:00,Swap,1081.985180394,tether,1.18837117485452,1285.8,mina-protocol,Binance,1.08198518,tether,,,1.0,187
02-12-24 22:48:00,Transfert,1607.202922,tether,,,,Trust Wallet (ETH),7.0,tether,Binance,,1.0,188
02-12-24 23:01:00,Transfert,0.02521,ethereum,,,,Trust Wallet (ETH),0.0016,ethereum,Bitget,,3615.0,189
04-12-24 10:37:00,Transfert,0.818,ocean-protocol,,,,Trust Wallet (BSC),0.000060048,binancecoin,Ledger,776,0.84,190
04-12-24 11:19:00,Transfert,2012.0,ocean-protocol,,,,Binance,0.000054312,binancecoin,Ledger,792,0.84,191
04-12-24 11:25:00,Swap,872.00509087,fetch-ai,2.30826404693556,2012.818,ocean-protocol,Binance,,,,,1.94,192
04-12-24 11:31:00,Swap,0.001,binancecoin,790.3,0.7903,tether,MEXC,0.00039515,tether,,,790.3,193
04-12-24 11:41:00,Swap,0.004,binancecoin,780.5,3.122,tether,MEXC,0.001561,tether,,,780.5,194
04-12-24 11:44:00,Transfert,0.005,binancecoin,,,,Trust Wallet (BSC),0.0002,binancecoin,MEXC,,780.0,195
04-12-24 11:47:00,Transfert,0.818,ocean-protocol,,,,Binance,0.000054071,binancecoin,Trust Wallet (BSC),780,0.84,196
04-12-24 11:55:00,Transfert,0.004745929,binancecoin,,,,Ledger,0.000021,binancecoin,Trust Wallet (BSC),,778.0,197
04-12-24 21:54:00,Emprunt,1830.0,tether,,,,Bitget Margin,,,,,1.0,198
06-12-24 21:55:00,Transfert,1600.202922,tether,,,,Binance,0.002096278,ethereum,Trust Wallet (ETH),4039.6,1.0,199
06-12-24 22:12:00,Swap,33.16,ordinals,48.25,1599.97,tether,Binance,0.03316,ordinals,,,48.25,200
08-12-24 22:16:00,Swap,3499.99998025,tether,38387.7159309021,134357005.0,pepe,Bitget,2.79999998,tether,,,1.0,201
08-12-24 22:26:00,Swap,98.25,render-token,10.178,999.9885,tether,Bitget,0.0786,render-token,,,10.178,202
08-12-24 22:29:00,Transfert,2497.25940026,tether,,,,KuCoin,,,Bitget,,1.0,203
08-12-24 22:38:00,Swap,547.0699,akash-network,4.55567762000066,2492.274100006,tether,KuCoin,4.984,tether,,,4.55567762000066,204
09-12-24 22:42:00,Swap,1000.0,fetch-ai,1.65,1650.0,tether,Bitget Margin,0.8,fetch-ai,,,1.65,205
09-12-24 23:31:00,Transfert,1132.04999562,fetch-ai,,,,Bitget Margin,,,Bitget,,1.65,206
09-12-24 23:35:00,Swap,0.03,solana,216.34,6.4902,tether,MEXC,0.0032451,tether,,,216.34,207
19-12-24 22:00:00,Transfert,872.00509087,fetch-ai,,,,Bitget Margin,0.00001,fetch-ai,Binance,,1.29,208
20-12-24 11:51:00,Swap,0.02,solana,182.4,3.648,tether,MEXC,0.001824,tether,,,182.4,209
20-12-24 11:51:00,Transfert,0.05,solana,,,,Phantom,0.0064,solana,MEXC,,182.4,210
30-12-24 15:40:00,Swap,160.0,nosana,2.5,400.0,tether,MEXC,0.2,tether,,,2.5,211
31-12-24 17:15:00,Retrait staking,1000.0,akash-network,,,,Keplr,0.000577,akash-network,,,2.88,212
31-12-24 17:16:00,Interets,13.443892,akash-network,,,,Keplr,,,,,3.624388079,213
08-01-25 09:24:00,Swap,1370.0,tether,0.72992700729927,1000.0,fetch-ai,Bitget Margin,1.37,tether,,,1.0,214
16-01-25 15:47:00,Swap,1636.626731406,tether,27.8241513633834,45537.7499,ankr,Bitget,1.6367676,tether,,,1.0,215
16-01-25 15:48:00,Swap,1331.62729293,tether,93.6241924913398,124672.53,nervos-network,Bitget,1.33164509,tether,,,1.0,216
16-01-25 16:11:00,Swap,1752.57,ai-rig-complex,0.4279,749.924703,tether,Bitget,1.75257,ai-rig-complex,,,0.4279,217
16-01-25 16:11:00,Swap,535.04,ai16z,1.4017,749.965568,tether,Bitget,0.53504,ai16z,,,1.4017,218
16-01-25 16:13:00,Swap,1000.0,fetch-ai,1.32,1320.0,tether,Bitget Margin,1.0,fetch-ai,,,1.32,219
17-01-25 12:20:00,Swap,2235.79,ai-rig-complex,0.32,715.4528,tether,Bitget,2.23579,ai-rig-complex,,,0.32,220
17-01-25 15:52:00,Swap,635.59,ai16z,1.18,749.9962,tether,Bitget,0.63559,ai16z,,,1.18,221
27-01-25 07:47:00,Swap,871.39,ai16z,0.67,583.8313,tether,MEXC,0.29191565,tether,,,0.67,222
29-01-25 15:00:00,Swap,2892.105,tether,1.03626943005181,2997.0,fetch-ai,Bitget Margin,2.892105,tether,,,1.0,223
02-02-25 12:36:00,Swap,3200.0,fetch-ai,0.9,2880.0,tether,Bitget Margin,3.2,fetch-ai,,,0.9,224
03-02-25 03:07:00,Swap,579.61272309,tether,1.63268798076929,946.32672649,fetch-ai,Bitget Margin,,,,,1.0,225
03-02-25 03:07:00,Remboursement,2105.33639686,tether,,,,Bitget Margin,68.6396993,tether,,,1.0,226
